阿党比周	a'dang'bi'zhou	相互勾结，相互偏袒，结党营私。
忘乎其形	wang'hu'qi'xing	犹忘形。形容得意或兴奋得失去常态。
忘乎所以	wang'hu'suo'yi	同“忘其所以”。
忘其所以	wang'qi'suo'yi	①形容得意或兴奋得失去常态。②忘记了一切。
忘寝废食	wang'qin'fei'shi	忘记了睡觉，顾不得吃饭。形容对某事专心致志或忘我地工作、学习。
忘情负义	wang'qing'fu'yi	忘记别人对自己的情义，做出对不起他的事。
忘生舍死	wang'sheng'she'si	忘却性命，不怕牺牲。
望表知里	wang'biao'zhi'li	通过观察事物的表面现象推知本质。
望尘拜伏	wang'chen'bai'fu	见“望尘而拜”。
望尘奔北	wang'chen'ben'bei	见“望尘奔溃”。
望尘奔溃	wang'chen'ben'kui	亦作“望尘奔北”。谓只看见敌方军马扬起的尘土便奔逃溃散。形容军无斗志。
望尘不及	wang'chen'bu'ji	见“望尘莫及”。
望尘而拜	wang'chen'er'bai	谓迎候显贵，望见车尘即行叩拜。形容卑躬屈膝或敬畏的神态。
望尘靡及	wang'chen'mi'ji	见“望尘莫及”。
望尘莫及	wang'chen'mo'ji	亦作“望尘不及”。亦作“望尘靡及”。谓远望前面车马飞扬的尘土而追趕不上。亦比喻远远落后。语本《庄子·田子方》：“夫子奔逸绝尘，而回瞠若乎后矣。”
望尘僄声	wang'chen'piao'sheng	比喻听见风就是雨，不辨事情的虚实真伪。
望尘追迹	wang'chen'zhui'ji	比喻趕上别人的前进速度。
望穿秋水	wang'chuan'qiu'shui	形容急切盼望。秋水，喻指眼睛。
望断白云	wang'duan'bai'yun	喻想念父母。典出《新唐书·狄仁杰传》：“亲在河阳，仁杰在太行山，反顾，见白云孤飞，谓左右曰：‘吾亲舍其下。’瞻怅久之，云移乃得去。”
望而却步	wang'er'que'bu	见到危险、困难或力所不及的事就往后退缩。
望而生畏	wang'er'sheng'wei	见了令人害怕。语本《论语·尧曰》：“君子正其衣冠，尊其瞻视，俨然人望而畏之，斯不亦威而不猛乎？”
望风捕影	wang'feng'bu'ying	比喻言论行动以似是而非的迹象为依据。
望风承旨	wang'feng'cheng'zhi	见“望风希指”。
望风而遁	wang'feng'er'dun	远远望见敌人的踪影或强大气势，即行遁逃。
望风而靡	wang'feng'er'mi	①见对方的威势就服服帖帖。形容畏惧之状。②望见对方就为之折服倾倒。形容钦敬之状。③同“望风披靡”。
望风而逃	wang'feng'er'tao	同“望风而遁”。
望风披靡	wang'feng'pi'mi	汉司马相如《上林赋》：“应风披靡，吐芳扬烈。”谓草木随风倒伏。后用“望风披靡”比喻为敌人强大的气势所压倒。形容军无斗志。
望风希旨	wang'feng'xi'zhi	见“望风希指”。
望风希指	wang'feng'xi'zhi	谓见机迎合他人意旨。
望峰息心	wang'feng'xi'xin	遥望山峦巍峨而尘念随之平息。多指遁世隐居。亦喻知难而止息。
望衡对宇	wang'heng'dui'yu	门庭相对。形容住处接近。
望空捉影	wang'kong'zhuo'ying	又作：捕风捉影。比喻言论行动以似是而非的迹象为依据。
望梅阁老	wang'mei'ge'lao	喻徒有虚名之官。
望梅止渴	wang'mei'zhi'ke	比喻以空想安慰自己。典出南朝宋刘义庆《世说新语·假谲》：“魏武行役失汲道，军皆渴，乃令曰：‘前有大梅林，饶子，甘酸可以解渴。’士卒闻之，口皆出水，乘此得及前源。”
望门投止	wang'men'tou'zhi	谓见有人家即去投宿。极言处境的窘迫。
望其肩项	wang'qi'jian'xiang	形容趕得上或达得到。
望其项背	wang'qi'xiang'bei	见“望其肩项”。
望秋先零	wang'qiu'xian'ling	谓草木将近秋即败落凋零。亦比喻未老先衰。
望文生训	wang'wen'sheng'xun	见“望文生义”。
望文生义	wang'wen'sheng'yi	不推求词句的确切涵义，只从字面上去附会，作出错误的解释。
望屋而食	wang'wu'er'shi	谓军行不带粮草，随处就食。
望屋以食	wang'wu'yi'shi	见“望屋而食”。
望岫息心	wang'xiu'xi'xin	见“望峰息心”。
望眼将穿	wang'yan'jiang'chuan	见“望眼欲穿”。
望眼欲穿	wang'yan'yu'chuan	亦作“望眼穿”。亦作“望眼将穿”。极言盼望殷切。语出唐白居易《江楼夜吟元九律诗》：“白头吟处变，青眼望中穿。”
望洋而叹	wang'yang'er'tan	亦作“望洋而叹”。比喻看见他人伟大而慨叹自己渺小或处理一件事而慨叹力量不足。语本《庄子·秋水》：秋水涨时河两岸间不辨牛马。河伯以天下之美为尽在此。乃顺流下至北海，更是一片汪洋。于是河伯“望洋向若而叹曰：‘野语有之，曰：闻道百以为莫己若者，我之谓也。’”
望洋而叹	wang'yang'er'tan	见“望洋而叹”。
望洋兴叹	wang'yang'xing'tan	同“望洋而叹”。
望影揣情	wang'ying'chuai'qing	谓观察事物的表象即能测知其实质。
望子成龙	wang'zi'cheng'long	盼望兒子成为出类拔萃的人物。
危机四伏	wei'ji'si'fu	谓到处存在危险的因素。
危急存亡	wei'ji'cun'wang	谓情势危险急迫，关系到生存或灭亡。
危如累卵	wei'ru'lei'luan	如垒起的蛋那样危险。喻极其危险。
危若朝露	wei'ruo'zhao'lu	危险得象易于消失的早晨的露水那样。比喻面临灭亡。
危言高论	wei'yan'gao'lun	正直而不同凡响的言论。
危言覈论	wei'yan'he'lun	正直而翔实的言论。
危言逆耳	wei'yan'ni'er	正直的规劝听起来不顺耳。
危言耸听	wei'yan'song'ting	谓故意说吓人的话使人听了吃惊。
危言竦论	wei'yan'song'lun	使人感到惊恐或震动的言论。
危言正色	wei'yan'zheng'se	刚直的言论和严正的态度。
危於累卵	wei'yu'lei'luan	比垒起的蛋还危险。喻极其危险。
危在旦夕	wei'zai'dan'xi	危险就在眼前。
威风八面	wei'feng'ba'mian	形容神气十足，声势慑人。
威风凛凛	wei'feng'lin'lin	①形容声势气派令人敬畏。②指声势气派壮大。
威风扫地	wei'feng'sao'di	形容声势气派完全丧失。
威凤一羽	wei'feng'yi'yu	谓略见善政一斑之意。
威武不屈	wei'wu'bu'qu	谓权势不能使之屈服。语出《孟子·滕文公下》：“富贵不能淫，贫贱不能移，威武不能屈，此之谓大丈夫。”
威刑肃物	wei'xing'su'wu	以严刑使人恭顺。
威重令行	wei'zhong'ling'xing	权势大，有令必行。
偎红倚翠	wei'hong'yi'cui	谓亲狎女色；狎妓。
偎乾就湿	wei'qian'jiu'shi	形容母亲抚育幼兒之辛苦。谓幼兒溺床，母亲宁可以身就湿，使小兒卧处常干。
偎慵堕懒	wei'yong'duo'lan	又作：懒惰，偷懒。
逶迤退食	wei'yi'tui'shi	谓从容谦退，公正廉洁。语本《诗·召南·羔羊》：“退食自公，委蛇委蛇。”郑玄笺：“退食谓减膳也。自，从也。从於公谓正直顺於事也。委蛇，委曲自得之貌。节俭而顺心志定，故可自得也。”。
微不足道	wei'bu'zu'dao	藐小得不值得一谈。
微察秋毫	wei'cha'qiu'hao	形容极细小的东西都看得很清楚。
微乎其微	wei'hu'qi'wei	形容非常细小，极其有限。亦指极微小的事物。
微文深诋	wei'wen'shen'di	谓深文周纳，诬人入罪。
微显阐幽	wei'xian'chan'you	谓显现微妙之处，阐明幽深之理。
微言大义	wei'yan'da'yi	亦作“微言大谊”。微言，精深微妙的言辞；大义，旧指有关《诗》、《书》、《礼》、《乐》诸经的要义。后用以指精微的语言中所包含的深奥意义。语出汉刘歆《移书让太常博士》：“乃夫子没而微言绝，七十子卒而大义乖。”
微言大谊	wei'yan'da'yi	见“微言大义”。
煨乾避湿	wei'qian'bi'shi	见“煨乾就湿”
煨乾就湿	wei'qian'jiu'shi	极言抚育孩子的辛苦。
巍巍荡荡	wei'wei'dang'dang	语出《论语·泰伯》：“大哉尧之为君也！巍巍乎！唯天为大，唯尧则之。荡荡乎，民无能名焉。”硃熹集注：“巍巍，高大之貌；荡荡，广远之称也。”后以“巍巍荡荡”形容道德崇高，恩泽博大。
为丛驱雀	wei'cong'qu'que	见“为渊驱鱼，为丛驱爵”。
为德不终	wei'de'bu'zhong	见“为德不卒”。
为德不卒	wei'de'bu'zu	好事没有做到底。
为恶不悛	wei'e'bu'quan	坚持作恶，不肯悔改。
为法自弊	wei'fa'zi'bi	作定自弊。
为非作歹	wei'fei'zuo'dai	做坏事。
为非作恶	wei'fei'zuo'e	见“为非作歹”。
为富不仁	wei'fu'bu'ren	《孟子·滕文公上》：“阳虎曰：‘为富不仁矣，为仁不富矣。’”赵岐注：“富者好聚，仁者好施，施不得聚，道相反也。”后谓富人唯利是图，不顾他人死活。
为鬼为蜮	wei'gui'wei'yu	《诗·小雅·何人斯》：“为鬼为蜮，则不可得。”硃熹集传：“蜮，短狐也，江淮水中皆有之，能含沙以射水中人影，其人辄病，而不见其形也。”后以“为鬼为蜮”比喻使用阴谋诡计，暗中害人。
为好成歉	wei'hao'cheng'qian	做好事反被当作恶意。
为虎傅翼	wei'hu'fu'yi	给老虎添上翅膀。比喻助长恶人的势力。
为虎添翼	wei'hu'tian'yi	见“为虎傅翼”。
为虎作伥	wei'hu'zuo'chang	传说被虎吃掉的人，死后成为伥鬼，虎行求食，则为虎前导清道。见《太平广记》卷四三○引唐裴铏《传奇·马拯》。后因以“为虎作伥”比喻做恶人的帮凶。
为虺弗摧	wei'hui'fu'cui	春秋时吴王夫差胜越，将许越和，申胥以为不可，谏曰：“为虺弗摧，为蛇将若何？”见《国语·吴语》。虺，小蛇。言小蛇不打死，长大后即不可制。比喻弱敌不除，必贻后患。
为民请命	wei'min'qing'ming	谓替老百姓申诉痛苦。语本《史记·淮阴侯列传》：“因民之欲，西乡为百姓请命，则天下风走而响应矣，孰敢不听！”
为裘为箕	wei'qiu'wei'ji	语出《礼记·学记》：“良冶之子必学为裘；良弓之子必学为箕。”孔颖达疏：“言善冶之家，其子弟见其父兄世业鋾铸金铁，使之柔合以补冶破器，皆令全好，故此，子弟仍能学为袍裘，补续兽皮，片片相合，以至完全也……善为弓之家，使幹角挠屈调和成其弓，故其子弟亦睹其父兄世业，仍学取柳和软挠之成箕也。”后用以比喻子弟能继承父兄的事业。
为人作嫁	wei'ren'zuo'jia	见“为他人作嫁衣裳”。
为山止篑	wei'shan'zhi'kui	比喻功败垂成。语本《论语·子罕》：“譬如为山，未成一篑。止，吾止也。”
为善最乐	wei'shan'zui'le	谓行善是最大的乐事。
为蛇画足	wei'she'hua'zu	《战国策·齐策二》：“楚有祠者，赐其舍人卮酒。舍人相谓曰：‘数人饮之不足，一人饮之有馀；请画地为蛇，先成者饮酒。’一人蛇先成，引酒且饮之，乃左手持卮，右手画蛇，曰：‘吾能为之足。’未成，一人之蛇成，夺其卮曰：‘蛇固无足，子安能为之足！’遂饮其酒。”后以“为蛇画足”比喻做事节外生枝，不但无益，反而害事。
为蛇添足	wei'she'tian'zu	见“为蛇画足”。
为所欲为	wei'suo'yu'wei	想干什么就干什么。
为渊驱鱼，为丛驱爵	wei'yuan'qu'yu'-'wei'cong'qu'jue	丛驱爵】	语出《孟子·离娄上》：“为渊驱鱼者，獭也；为丛驱爵者，鹯也；为汤武驱民者，桀与纣也。”《晋书·段灼传》引作“为川驱鱼，为薮驱雀”。驱，比喻为政不善，人心涣散，使百姓投向敌方。
为渊驱鱼，为丛驱雀	wei'yuan'qu'yu'-'wei'cong'qu'que	丛驱雀】	见“为渊驱鱼，为丛驱爵”。
为渊驱鱼	wei'yuan'qu'yu	见“为渊驱鱼，为丛驱爵”。
韦编三绝	wei'bian'san'jue	《史记·孔子世家》：“孔子晚而喜《易》……读《易》，韦编三绝。曰：‘假我数年，若是，我於《易》则彬彬矣。’”《汉书·儒林传序》：“盖晚而好《易》，读之韦编三绝，而为之传。”颜师古注：“编，所以联次简也。言爱玩之甚，故编简之韦为之三绝也。”后遂以“韦编三绝”为读书勤奋、刻苦治学之典。
围城打援	wei'cheng'da'yuan	军事术语。先以部分兵力包围守城之敌，引诱别处敌人前来救援，然后以主力部队将援敌一举歼之。
围魏救赵	wei'wei'jiu'zhao	战国时（公元前３５３年）魏国围攻赵国都城邯郸。赵国求救于齐国。齐将田忌、孙膑率军救赵，趁魏国都城兵力空虚，引兵直攻魏国。魏军回救，齐军乘其疲惫，于中途大败魏军，遂解赵围。事见《史记·孙子吴起列传》。此种战略后来常为兵家所采用，称为“围魏救赵”法。
帏箔不修	wei'bo'bu'xiu	见“帏薄不修”。
帏薄不修	wei'bao'bu'xiu	亦作“帏箔不修”。
违法乱纪	wei'fa'luan'ji	违反法规，扰乱纪律。
违害就利	wei'hai'jiu'li	避开祸害，追求利益。
违利赴名	wei'li'fu'ming	舍去利欲而求取名声。
违强陵弱	wei'qiang'ling'ruo	避开强暴的，欺凌弱小的。
违时绝俗	wei'shi'jue'su	违背世俗常情，与众不同。
违世乖俗	wei'shi'guai'su	同“违时绝俗”。
违世绝俗	wei'shi'jue'su	同“违时绝俗”。
违世异俗	wei'shi'yi'su	同“违时绝俗”。
违天悖理	wei'tian'bei'li	见“违天逆理”。
违天悖人	wei'tian'bei'ren	违背天理人情。
违天害理	wei'tian'hai'li	见“违天逆理”。
违天逆理	wei'tian'ni'li	做事残忍，违背天道伦理。
违条犯法	wei'tiao'fan'fa	违犯法律条文。
违条舞法	wei'tiao'wu'fa	见“违条犯法”。
违乡负俗	wei'xiang'fu'su	离别家乡，违背世俗。
唯利是求	wei'li'shi'qiu	见“唯利是视”。
唯利是视	wei'li'shi'shi	亦作“唯利是求”。亦作“唯利是图”。以利为着眼点。谓一心只顾谋取利益。
唯利是图	wei'li'shi'tu	见“唯利是视”。
唯妙唯肖	wei'miao'wei'xiao	形容描写或模仿得非常巧妙，非常逼真。
唯命是从	wei'ming'shi'cong	同“唯命是听”。
唯命是听	wei'ming'shi'ting	只要吩咐便听从。谓绝对服从。
唯所欲为	wei'suo'yu'wei	随心所欲，任意而为。语本《隋书·天文志上》：“扞铜仪呴所以准验辰历，分考次度，其於揆测，唯所欲为之者也。”
唯唯否否	wei'wei'fou'fou	语出《史记·太史公自序》：“太史公曰：‘唯唯，否否，不然。’”裴骃集解引晋灼曰：“唯唯，谦应也；否否，不通者也。”钱锺书《管锥篇·史记会注考证五八》：“盖不欲迳‘否’其说，姑以‘唯’先之，聊减峻拒之语气。”后因以“唯唯否否”形容虚与委蛇，佯应而不置可否。
唯唯诺诺	wei'wei'nuo'nuo	语本《韩非子·八奸》：“优笑侏儒，左右近習，此人主未命而唯唯，未使而诺诺，先意承旨，观貌察色以先主心者也。”后因以“唯唯诺诺”谓卑恭顺从。
唯我独尊	wei'wo'du'zun	亦作“唯吾独尊”。本为佛教推崇释迦牟尼之语。《五灯会元·七佛·释迦牟尼佛》：“天上天下，唯吾独尊。”后用以形容极端狂妄自大者。
唯吾独尊	wei'wu'du'zun	见“唯我独尊”。
帷箔不修	wei'bo'bu'xiu	见“帷薄不修”。
帷薄不修	wei'bao'bu'xiu	家门淫乱的讳语。
帷灯箧剑	wei'deng'qie'jian	见“帷灯匣剑”。
帷灯匣剑	wei'deng'xia'jian	以帷罩灯，以匣藏剑。比喻真相难明，令人猜疑。
帷幕不修	wei'mu'bu'xiu	见“帷薄不修”。
惟精惟一	wei'jing'wei'yi	精纯专一。
惟口起羞	wei'kou'qi'xiu	谓言语不慎，招致羞辱。
惟力是视	wei'li'shi'shi	谓竭尽己力而为。
惟利是命	wei'li'shi'ming	又作：惟利是图。
惟利是求	wei'li'shi'qiu	见“惟利是图”。
惟利是趋	wei'li'shi'qu	见“惟利是图”。
惟利是视	wei'li'shi'shi	见“惟利是图”。
惟利是图	wei'li'shi'tu	一心为利，别的什么都不顾。
惟妙惟肖	wei'miao'wei'xiao	非常相像，非常逼真。
惟命是从	wei'ming'shi'cong	又作：惟命是听。
惟命是听	wei'ming'shi'ting	叫做什么，就做什么。谓绝对服从。
惟日不足	wei'ri'bu'zu	谓终日为之而犹恐不足。
惟日为岁	wei'ri'wei'sui	又作：度日如年。
惟所欲为	wei'suo'yu'wei	想干什么就干什么，任意而为。
惟我独尊	wei'wo'du'zun	《续传灯录·宗元庵主》：“一日举：世尊生下，一手指天，一手指地云：‘天上天下，惟我独尊。’”本为推崇佛陀之辞，后用以形容人妄自尊大，目空一切。
维妙维肖	wei'miao'wei'xiao	形容描绘、模仿得逼真传神。
嵬目鸿耳	wei'mu'hong'er	见“嵬眼澒耳”。
嵬眼澒耳	wei'yan'hong'er	亦作“嵬目鸿耳”。又作：动人观听。
伟绩丰功	wei'ji'feng'gong	同“丰功伟绩”。伟大的功绩。
尾大不掉	wei'da'bu'diao	①比喻属下势强，不听从调度指挥。②比喻事物前轻后重，难以驾驭的现象。
尾大难掉	wei'da'nan'diao	又作：尾大不掉。
纬地经天	wei'di'jing'tian	谓治理国家。
纬武经文	wei'wu'jing'wen	谓运用文才武略以治理国家。
委靡不振	wei'mi'bu'zhen	衰颓而不振作。
委曲求全	wei'qu'qiu'quan	曲意迁就，以求保全。
委委佗佗	wei'wei'tuo'tuo	雍容自得貌。《诗·鄘风·君子偕老》：“委委佗佗，如山如河。”毛传：“委委者，行可委曲踪迹也；佗佗者，德平易也。”硃熹集传：“雍容自得之貌。”明宋濂《梅府君墓志铭》：“命也奈何，芝生岩阿；既采且歌，委委佗佗。”清钱谦益《御史族兄汝瞻画像赞》：“委委佗佗，开颜舒眉。”王闿运《女箴》：“委委蛇蛇，如山如河。匪惟修貌，以绰以和。”一说，美貌。参阅《尔雅·释训》、唐陆德明《经典释文·毛诗音义上》。
娓娓不倦	wei'wei'bu'juan	谓久谈而不知疲倦。
娓娓动听	wei'wei'dong'ting	谓健谈而且感人。
萎靡不振	wei'mi'bu'zhen	衰颓消沉；精神不振作。
未艾方兴	wei'ai'fang'xing	方兴未艾。谓正在蓬勃向前发展。
未卜先知	wei'bu'xian'zhi	旧时迷信，以占卜能预知吉凶。未卜先知，形容有先见之明。
未成一篑	wei'cheng'yi'kui	犹功亏一篑。比喻功败垂成。
未达一间	wei'da'yi'jian	谓未能通达，只差一点。
未定之天	wei'ding'zhi'tian	还未决定的时候。
未焚徙薪	wei'fen'xi'xin	在火患之前就先将柴薪搬开。比喻防患于未然。
未风先雨	wei'feng'xian'yu	比喻未见事实先下结论。
未竟之志	wei'jing'zhi'zhi	没有完成的志向。
未可厚非	wei'ke'hou'fei	不可过分指责、非难。表示虽有缺点，但宜原谅。
未可同日而语	wei'ke'tong'ri'er'yu	】	谓两者相差很大，不能相提并论。
未老先衰	wei'lao'xian'shuai	不到年老就已衰弱；年纪不大而精神衰颓。
未明求衣	wei'ming'qiu'yi	天没有亮就穿衣起床。形容勤于政事。
未能免俗	wei'neng'mian'su	未能免于俗例或常情。典出南朝宋刘义庆《世说新语·任诞》：“阮仲容步兵居道南，诸阮居道北；北阮皆富，南阮贫。七月七日，北阮盛曬衣，皆纱罗锦绮。仲容以竿挂大布犊鼻裈于中庭。人或怪之，答曰：‘未能免俗，聊复尔耳。’”。
未为不可	wei'wei'bu'ke	不是不可以。委婉地肯定。
未形之患	wei'xing'zhi'huan	尚未显露的祸患。
未雨绸缪	wei'yu'chou'mou	语本《诗·豳风·鸱鸮》：“迨天之未阴雨，彻彼桑土，绸缪牖户。”原谓趁天还没下雨，就把窝巢缠捆牢固。后以“未雨绸缪”喻事先做好预防、准备工作。
未知万一	wei'zhi'wan'yi	万分之一都不知道。形容学识肤浅。
未足轻重	wei'zu'qing'zhong	谓无关紧要，不值得重视。
位卑言高	wei'bei'yan'gao	谓在下位而议论高官主管的政事。语出《孟子·万章下》：“位卑而言高，罪也。”
位极人臣	wei'ji'ren'chen	①谓官位达于人臣的最高一级。②泛指身为重臣，官位很高。
味如嚼蜡	wei'ru'jiao'la	见“味同嚼蜡”。
味同嚼蜡	wei'tong'jiao'la	亦作“味如嚼蜡”。比喻无味。
畏刀避箭	wei'dao'bi'jian	比喻遇战事退缩不前。
畏敌如虎	wei'di'ru'hu	害怕敌人就像害怕老虎一般。语本《三国志·蜀志·诸葛亮传》“亮复出祁山”裴松之注引晋习凿齿《汉晋春秋》：“贾栩、魏平数请战，因曰：‘公（司马懿）畏蜀如虎，奈天下笑何！’宣王病之。”
畏口慎事	wei'kou'shen'shi	说话谨慎，做事小心。
畏难苟安	wei'nan'gou'an	害怕困难，苟且偷安。
畏首畏尾	wei'shou'wei'wei	疑虑重重貌。
畏死贪生	wei'si'tan'sheng	害怕死亡，贪恋生存。
畏缩不前	wei'suo'bu'qian	畏怯退缩，不敢前进。
畏天爱民	wei'tian'ai'min	敬畏上天，爱怜下民。
畏天悯人	wei'tian'min'ren	敬畏天命，悯惜世人的困苦。
畏天恤民	wei'tian'xu'min	见“畏天爱民”。
畏天知命	wei'tian'zhi'ming	谓知天命，识时务。
畏头畏尾	wei'tou'wei'wei	见“畏首畏尾”。
畏威怀德	wei'wei'huai'de	畏惧声威，感念德惠。语出《国语·晋语八》：“民畏其威，而怀其德，莫能勿从。”
畏葸不前	wei'xi'bu'qian	畏惧胆怯，不敢前进。
畏影避迹	wei'ying'bi'ji	《庄子·渔父》：“人有畏影恶迹而去之走者，举足愈数而迹愈多，走愈疾而影不离身。自以为尚迟，疾走不休，绝力而死。不知处阴以休影，处静以息迹，愚亦甚矣。”后以“畏影避迹”比喻不明事理，庸人自扰。
畏影而走	wei'ying'er'zou	见“畏影避迹”。
畏之如虎	wei'zhi'ru'hu	像怕老虎那样害怕。形容惧怕到极点。
渭川千亩	wei'chuan'qian'mu	《史记·货殖列传》：“齐鲁千亩桑麻；渭川千亩竹……此其人皆与千户侯等。”宋黄公度《谢傅参议彦济惠笋用山谷韵》：“前身渭川侯，千亩偿宿债。”后以“渭川千亩”言竹之繁茂。
渭浊泾清	wei'zhuo'jing'qing	泾水清，渭水浊。用以比喻事物和人品的差别。
蔚然成风	wei'ran'cheng'feng	谓事情之发展流行逐渐形成风气。
蔚为大观	wei'wei'da'guan	谓荟萃众美，给人以美不胜收的观感。
蝟锋螗斧	wei'feng'tang'fu	比喻微弱的力量。
蝟结蚁聚	wei'jie'yi'ju	比喻人众纷纷集结。
蝟起鸡连	wei'qi'ji'lian	如蝟毛纷起，鸡声相连。比喻彼此串连，蠢蠢而动。
魏颗结草	wei'ke'jie'cao	春秋晋魏颗不从父以嬖妾殉葬之命而遣嫁之，后与秦将杜回战于辅氏，“颗见老人结草以亢杜回，杜回踬而颠，故获之。夜梦之曰：‘余，而所嫁妇人之父也……余是以报。’”见《左传·宣公十五年》。后因以“魏颗结草”表示受恩深重，竭力报效之意。
魏鹊无枝	wei'que'wu'zhi	喻贤才无所依存。语本三国魏曹操《短歌行》：“月明星稀，乌鹊南飞，绕树三匝，何枝可依。”
魏紫姚黄	wei'zi'yao'huang	牡丹花的两个名贵品种。
温故知新	wen'gu'zhi'xin	①温习学过的知识，得到新的理解和体会。②温习历史经验，认识现在。
温衾扇枕	wen'qin'shan'zhen	同“温枕扇席”。
温情脉脉	wen'qing'mai'mai	形容对人充满感情想要表露的样子。
温情密意	wen'qing'mi'yi	谓情意温柔亲密。
温情蜜意	wen'qing'mi'yi	见“温情密意”。
温凊定省	wen'qing'ding'sheng	冬温夏凊、昏定晨省的省称。谓冬天温被，夏天扇席，晚上侍候睡定，早晨前往请安。表示侍奉父母无微不至。语本《礼记·曲礼上》：“凡为人子之礼，冬温而夏凊，昏定而晨省。”
温柔敦厚	wen'rou'dun'hou	温和宽厚。儒家认为这是《诗经》的基本精神和教育意义之所在。后来也被一派人当作对所有诗作的要求。
温生绝裾	wen'sheng'jue'ju	南朝宋刘义庆《世说新语·尤悔》：“温公初受，刘司空使劝进，母崔氏固驻之，峤绝裾而去。”后用“温生绝裾”为去意坚决的典故。
温文尔雅	wen'wen'er'ya	态度温和，举止文雅。
温文儒雅	wen'wen'ru'ya	又作：温文尔雅。
温席扇枕	wen'xi'shan'zhen	见“温枕扇席”。
温香艳玉	wen'xiang'yan'yu	见“温香艳玉”。
温香艳玉	wen'xiang'yan'yu	比喻妇女的美好姿质。
温枕扇席	wen'zhen'shan'xi	谓侍奉父母无微不至。
文不对题	wen'bu'dui'ti	文章内容与题目不符合。亦指话语与话题不合。
文不加点	wen'bu'jia'dian	谓作文一气呵成，无须修改。
文采风流	wen'cai'feng'liu	①横溢的才华与潇洒的风度。②指才华横溢与风度潇洒的人物。
文弛武玩	wen'chi'wu'wan	文武官员玩忽职守。
文从字顺	wen'cong'zi'shun	行文用字，妥帖通顺。
文觌武匿	wen'di'wu'ni	艺文兴而武道隐。谓尚文之风大盛。语本《国语·周语中》：“武不可觌，文不可匿。”
文房四宝	wen'fang'si'bao	指笔、墨、纸、砚。
文房四侯	wen'fang'si'hou	指笔、砚、纸、墨。古人戏称笔为管城侯毛元锐，砚为即墨侯石虚中，纸为好畤侯楮知白，墨为松滋侯易玄光，故称。参阅宋苏易简《文房四谱》引文嵩《四侯传》。
文房四士	wen'fang'si'shi	见“文房四宝”。
文房四物	wen'fang'si'wu	见“文房四宝”。
文房四艺	wen'fang'si'yi	指琴、棋、书、画。
文风不动	wen'feng'bu'dong	一点兒也不动。
文过其实	wen'guo'qi'shi	文辞浮夸，不切实际。
文过饰非	wen'guo'shi'fei	掩饰过错。
文过遂非	wen'guo'sui'fei	掩饰过失，顺随错误。
文籍先生	wen'ji'xian'sheng	称熟悉文献典籍的人。
文奸济恶	wen'jian'ji'e	掩饰奸诈，助长恶行。
文江学海	wen'jiang'xue'hai	比喻文章和学问似长江、大海般深广博大。
文经武略	wen'jing'wu'lve	经世的文才和军事谋略。
文经武纬	wen'jing'wu'wei	①谓文事武功都很出色。②菊花的一种。见清富察敦崇《燕京岁时记·九花山子》。
文君新寡	wen'jun'xin'gua	汉临邛富商卓王孙之女卓文君新寡，与辞赋家司马相如私奔，结为夫妇。见《史记·司马相如列传》。后以“文君新寡”、“文君早寡”为年轻女子丧夫寡居的典故。
文婪武嬉	wen'lan'wu'xi	谓文武官员习于安逸，贪婪成性。
文期酒会	wen'qi'jiu'hui	定期举行的文酒之会。
文人墨客	wen'ren'mo'ke	见“文人墨士”。
文人墨士	wen'ren'mo'shi	泛指文人、文士。
文人无行	wen'ren'wu'xing	谓文人作风不好或品行不端。
文人相轻	wen'ren'xiang'qing	谓文人之间相互轻视，彼此不服气。
文人学士	wen'ren'xue'shi	泛指文人、文士。
文如其人	wen'ru'qi'ren	文章的风格就像作者本人。
文山会海	wen'shan'hui'hai	形容文件会议多得泛滥成灾。
文身断发	wen'shen'duan'fa	古代荆楚、南越一带的习俗。身刺花纹，截短头发，以为可避水中蛟龙的伤害。后常用以指较落后地区的民俗。
文身剪发	wen'shen'jian'fa	见“文身断发”。
文身翦发	wen'shen'jian'fa	见“文身断发”。
文深网密	wen'shen'wang'mi	用法严刻，法网严密。
文丝不动	wen'si'bu'dong	一点兒也不动。
文似其人	wen'si'qi'ren	文章的风格与作者本人相似。
文搜丁甲	wen'sou'ding'jia	文章精妙感动神灵。丁甲，神名，即六丁六甲神。
文韬武略	wen'tao'wu'lve	文武两方面的谋略。
文恬武嬉	wen'tian'wu'xi	谓文官武将习于安逸嬉乐，不以国事为意。
文通残锦	wen'tong'can'jin	比喻剩下不多的才华。典出《南史·江淹传》。南朝梁江淹，字文通，年轻时就很有才华。传说他晚年梦见晋张协对他说：“前以一匹锦相寄，今可见还。”江淹把几尺残锦奉还，张大怒说：“那得割截都尽。”江淹的文才从此大不如前。
文无加点	wen'wu'jia'dian	见“文不加点”。
文武差事	wen'wu'cha'shi	喻明劫暗偷。
文武全才	wen'wu'quan'cai	能文能武的全面之才。
文武双全	wen'wu'shuang'quan	又作：文武全才。
文武之道	wen'wu'zhi'dao	指周文王、周武王治国修身之道和西周的礼乐文章。
文献之家	wen'xian'zhi'jia	指博学多闻、熟悉典章掌故的人。
文星高照	wen'xing'gao'zhao	比喻文运亨通。
文修武偃	wen'xiu'wu'yan	礼乐教化大行而武力征伐偃息。谓天下太平。
